Created as New Dataset;
cm-1;%T
2578,00;97,39
2576,00;97,39
2574,00;97,40
2572,00;97,40
2570,00;97,41
2568,00;97,41
2566,00;97,41
2564,00;97,41
2562,00;97,41
2560,00;97,42
2558,00;97,42
2556,00;97,42
2554,00;97,42
2552,00;97,42
2550,00;97,42
2548,00;97,42
2546,00;97,42
2544,00;97,42
2542,00;97,43
2540,00;97,43
2538,00;97,43
2536,00;97,43
2534,00;97,44
2532,00;97,44
2530,00;97,45
2528,00;97,45
2526,00;97,45
2524,00;97,46
2522,00;97,46
2520,00;97,47
2518,00;97,47
2516,00;97,47
2514,00;97,48
2512,00;97,48
2510,00;97,48
2508,00;97,49
2506,00;97,49
2504,00;97,50
2502,00;97,50
2500,00;97,50
2498,00;97,51
2496,00;97,51
2494,00;97,51
2492,00;97,52
2490,00;97,52
2488,00;97,53
2486,00;97,53
2484,00;97,54
2482,00;97,54
2480,00;97,55
2478,00;97,55
2476,00;97,56
2474,00;97,56
2472,00;97,57
2470,00;97,57
2468,00;97,58
2466,00;97,58
2464,00;97,58
2462,00;97,59
2460,00;97,59
2458,00;97,60
2456,00;97,60
2454,00;97,61
2452,00;97,61
2450,00;97,62
2448,00;97,62
2446,00;97,63
2444,00;97,63
2442,00;97,64
2440,00;97,64
2438,00;97,65
2436,00;97,65
2434,00;97,65
2432,00;97,66
2430,00;97,66
2428,00;97,67
2426,00;97,67
2424,00;97,67
2422,00;97,68
2420,00;97,68
2418,00;97,69
2416,00;97,69
2414,00;97,70
2412,00;97,70
2410,00;97,71
2408,00;97,72
2406,00;97,72
2404,00;97,72
2402,00;97,73
2400,00;97,73
2398,00;97,73
2396,00;97,73
2394,00;97,73
2392,00;97,73
2390,00;97,73
2388,00;97,73
2386,00;97,73
2384,00;97,73
2382,00;97,73
2380,00;97,73
2378,00;97,73
2376,00;97,73
2374,00;97,73
2372,00;97,73
2370,00;97,74
2368,00;97,74
2366,00;97,75
2364,00;97,77
2362,00;97,78
2360,00;97,79
2358,00;97,79
2356,00;97,79
2354,00;97,79
2352,00;97,78
2350,00;97,77
2348,00;97,77
2346,00;97,76
2344,00;97,76
2342,00;97,76
2340,00;97,76
2338,00;97,76
2336,00;97,77
2334,00;97,78
2332,00;97,79
2330,00;97,79
2328,00;97,80
2326,00;97,81
2324,00;97,81
2322,00;97,82
2320,00;97,82
2318,00;97,82
2316,00;97,82
2314,00;97,83
2312,00;97,83
2310,00;97,83
2308,00;97,83
2306,00;97,83
2304,00;97,84
2302,00;97,84
2300,00;97,84
2298,00;97,85
2296,00;97,85
2294,00;97,85
2292,00;97,86
2290,00;97,86
2288,00;97,86
2286,00;97,86
2284,00;97,86
2282,00;97,86
2280,00;97,86
2278,00;97,86
2276,00;97,86
2274,00;97,86
2272,00;97,86
2270,00;97,86
2268,00;97,87
2266,00;97,87
2264,00;97,87
2262,00;97,88
2260,00;97,88
2258,00;97,88
2256,00;97,89
2254,00;97,89
2252,00;97,89
2250,00;97,90
2248,00;97,90
2246,00;97,90
2244,00;97,91
2242,00;97,91
2240,00;97,91
2238,00;97,91
2236,00;97,91
2234,00;97,91
2232,00;97,91
2230,00;97,90
2228,00;97,90
2226,00;97,90
2224,00;97,90
2222,00;97,90
2220,00;97,89
2218,00;97,89
2216,00;97,89
2214,00;97,89
2212,00;97,89
2210,00;97,89
2208,00;97,88
2206,00;97,88
2204,00;97,88
2202,00;97,88
2200,00;97,89
2198,00;97,89
2196,00;97,89
2194,00;97,89
2192,00;97,89
2190,00;97,89
2188,00;97,90
2186,00;97,90
2184,00;97,90
2182,00;97,90
2180,00;97,90
2178,00;97,90
2176,00;97,90
2174,00;97,90
2172,00;97,91
2170,00;97,91
2168,00;97,92
2166,00;97,93
2164,00;97,94
2162,00;97,95
2160,00;97,97
2158,00;97,98
2156,00;98,00
2154,00;98,02
2152,00;98,03
2150,00;98,04
2148,00;98,05
2146,00;98,06
2144,00;98,06
2142,00;98,06
2140,00;98,06
2138,00;98,06
2136,00;98,06
2134,00;98,05
2132,00;98,05
2130,00;98,04
2128,00;98,03
2126,00;98,02
2124,00;98,02
2122,00;98,01
2120,00;98,00
2118,00;97,99
2116,00;97,99
2114,00;97,98
2112,00;97,97
2110,00;97,96
2108,00;97,95
2106,00;97,95
2104,00;97,94
2102,00;97,93
2100,00;97,92
2098,00;97,92
2096,00;97,91
2094,00;97,90
2092,00;97,90
2090,00;97,89
2088,00;97,89
2086,00;97,88
2084,00;97,88
2082,00;97,87
2080,00;97,87
2078,00;97,87
2076,00;97,86
2074,00;97,86
2072,00;97,86
2070,00;97,86
2068,00;97,86
2066,00;97,86
2064,00;97,87
2062,00;97,87
2060,00;97,87
2058,00;97,87
2056,00;97,87
2054,00;97,87
2052,00;97,87
2050,00;97,87
2048,00;97,87
2046,00;97,87
2044,00;97,88
2042,00;97,88
2040,00;97,88
2038,00;97,89
2036,00;97,89
2034,00;97,90
2032,00;97,91
2030,00;97,91
2028,00;97,92
2026,00;97,93
2024,00;97,94
2022,00;97,94
2020,00;97,95
2018,00;97,95
2016,00;97,95
2014,00;97,95
2012,00;97,95
2010,00;97,95
2008,00;97,95
2006,00;97,95
2004,00;97,96
2002,00;97,96
2000,00;97,96
1998,00;97,97
1996,00;97,97
1994,00;97,98
1992,00;97,98
1990,00;97,98
1988,00;97,98
1986,00;97,98
1984,00;97,98
1982,00;97,98
1980,00;97,98
1978,00;97,98
1976,00;97,98
1974,00;97,98
1972,00;97,98
1970,00;97,99
1968,00;97,99
1966,00;98,00
1964,00;98,01
1962,00;98,02
1960,00;98,02
1958,00;98,03
1956,00;98,03
1954,00;98,03
1952,00;98,03
1950,00;98,02
1948,00;98,02
1946,00;98,01
1944,00;98,00
1942,00;98,00
1940,00;97,99
1938,00;97,98
1936,00;97,98
1934,00;97,98
1932,00;97,97
1930,00;97,97
1928,00;97,97
1926,00;97,98
1924,00;97,98
1922,00;97,98
1920,00;97,99
1918,00;97,99
1916,00;97,99
1914,00;98,00
1912,00;98,00
1910,00;98,00
1908,00;98,00
1906,00;98,00
1904,00;97,99
1902,00;97,99
1900,00;97,99
1898,00;97,99
1896,00;97,98
1894,00;97,98
1892,00;97,98
1890,00;97,98
1888,00;97,98
1886,00;97,98
1884,00;97,98
1882,00;97,98
1880,00;97,99
1878,00;97,99
1876,00;97,99
1874,00;97,99
1872,00;97,99
1870,00;97,98
1868,00;97,98
1866,00;97,97
1864,00;97,96
1862,00;97,95
1860,00;97,93
1858,00;97,92
1856,00;97,91
1854,00;97,91
1852,00;97,91
1850,00;97,91
1848,00;97,93
1846,00;97,95
1844,00;97,97
1842,00;98,00
1840,00;98,03
1838,00;98,06
1836,00;98,09
1834,00;98,12
1832,00;98,15
1830,00;98,17
1828,00;98,20
1826,00;98,22
1824,00;98,24
1822,00;98,27
1820,00;98,29
1818,00;98,32
1816,00;98,36
1814,00;98,41
1812,00;98,47
1810,00;98,53
1808,00;98,61
1806,00;98,69
1804,00;98,79
1802,00;98,89
1800,00;99,01
1798,00;99,13
1796,00;99,28
1794,00;99,44
1792,00;99,62
1790,00;99,82
1788,00;100,05
1786,00;100,30
1784,00;100,58
1782,00;100,90
1780,00;101,26
1778,00;101,65
1776,00;102,08
1774,00;102,55
1772,00;103,06
1770,00;103,61
1768,00;104,19
1766,00;104,80
1764,00;105,45
1762,00;106,12
1760,00;106,80
1758,00;107,49
1756,00;108,18
1754,00;108,85
1752,00;109,49
1750,00;110,08
1748,00;110,60
1746,00;111,03
1744,00;111,37
1742,00;111,60
1740,00;111,71
1738,00;111,70
1736,00;111,56
1734,00;111,32
1732,00;110,97
1730,00;110,52
1728,00;110,00
1726,00;109,41
1724,00;108,77
