Created as New Dataset;
cm-1;%T
1582,00;43,11
1580,00;43,07
1578,00;43,04
1576,00;43,00
1574,00;42,96
1572,00;42,93
1570,00;42,89
1568,00;42,85
1566,00;42,81
1564,00;42,77
1562,00;42,73
1560,00;42,69
1558,00;42,64
1556,00;42,60
1554,00;42,56
1552,00;42,51
1550,00;42,47
1548,00;42,42
1546,00;42,38
1544,00;42,33
1542,00;42,28
1540,00;42,24
1538,00;42,19
1536,00;42,15
1534,00;42,10
1532,00;42,06
1530,00;42,01
1528,00;41,97
1526,00;41,92
1524,00;41,88
1522,00;41,83
1520,00;41,79
1518,00;41,75
1516,00;41,70
1514,00;41,66
1512,00;41,62
1510,00;41,58
1508,00;41,54
1506,00;41,50
1504,00;41,46
1502,00;41,43
1500,00;41,39
1498,00;41,36
1496,00;41,32
1494,00;41,29
1492,00;41,25
1490,00;41,22
1488,00;41,19
1486,00;41,16
1484,00;41,14
1482,00;41,11
1480,00;41,09
1478,00;41,07
1476,00;41,05
1474,00;41,03
1472,00;41,01
1470,00;40,99
1468,00;40,97
1466,00;40,96
1464,00;40,94
1462,00;40,92
1460,00;40,90
1458,00;40,89
1456,00;40,87
1454,00;40,84
1452,00;40,82
1450,00;40,80
1448,00;40,77
1446,00;40,74
1444,00;40,71
1442,00;40,68
1440,00;40,64
1438,00;40,61
1436,00;40,56
1434,00;40,52
1432,00;40,47
1430,00;40,42
1428,00;40,37
1426,00;40,32
1424,00;40,26
1422,00;40,21
1420,00;40,15
1418,00;40,09
1416,00;40,04
1414,00;39,99
1412,00;39,95
1410,00;39,91
1408,00;39,88
1406,00;39,86
1404,00;39,86
1402,00;39,86
1400,00;39,88
1398,00;39,91
1396,00;39,95
1394,00;40,00
1392,00;40,06
1390,00;40,14
1388,00;40,21
1386,00;40,30
1384,00;40,38
1382,00;40,46
1380,00;40,53
1378,00;40,59
1376,00;40,64
1374,00;40,67
1372,00;40,69
1370,00;40,68
1368,00;40,66
1366,00;40,61
1364,00;40,54
1362,00;40,45
1360,00;40,35
1358,00;40,22
1356,00;40,08
1354,00;39,93
1352,00;39,77
1350,00;39,60
1348,00;39,43
1346,00;39,25
1344,00;39,07
1342,00;38,90
1340,00;38,73
1338,00;38,56
1336,00;38,41
1334,00;38,25
1332,00;38,11
1330,00;37,98
1328,00;37,85
1326,00;37,74
1324,00;37,63
1322,00;37,54
1320,00;37,45
1318,00;37,36
1316,00;37,29
1314,00;37,22
1312,00;37,15
1310,00;37,09
1308,00;37,03
1306,00;36,97
1304,00;36,92
1302,00;36,86
1300,00;36,81
1298,00;36,75
1296,00;36,70
1294,00;36,65
1292,00;36,60
1290,00;36,55
1288,00;36,50
1286,00;36,45
1284,00;36,40
1282,00;36,35
1280,00;36,31
1278,00;36,26
1276,00;36,21
1274,00;36,17
1272,00;36,12
1270,00;36,08
1268,00;36,04
1266,00;36,00
1264,00;35,97
1262,00;35,94
1260,00;35,92
1258,00;35,91
1256,00;35,91
1254,00;35,92
1252,00;35,94
1250,00;35,98
1248,00;36,02
1246,00;36,08
1244,00;36,14
1242,00;36,22
1240,00;36,30
1238,00;36,39
1236,00;36,48
1234,00;36,56
1232,00;36,65
1230,00;36,73
1228,00;36,79
1226,00;36,84
1224,00;36,88
1222,00;36,90
1220,00;36,90
1218,00;36,88
1216,00;36,83
1214,00;36,76
1212,00;36,68
1210,00;36,57
1208,00;36,44
1206,00;36,30
1204,00;36,15
1202,00;35,99
1200,00;35,81
1198,00;35,64
1196,00;35,46
1194,00;35,28
1192,00;35,11
1190,00;34,94
1188,00;34,78
1186,00;34,62
1184,00;34,48
1182,00;34,34
1180,00;34,21
1178,00;34,10
1176,00;33,99
1174,00;33,89
1172,00;33,80
1170,00;33,72
1168,00;33,64
1166,00;33,57
1164,00;33,51
1162,00;33,45
1160,00;33,39
1158,00;33,33
1156,00;33,28
1154,00;33,22
1152,00;33,17
1150,00;33,12
1148,00;33,06
1146,00;33,01
1144,00;32,96
1142,00;32,90
1140,00;32,85
1138,00;32,79
1136,00;32,73
1134,00;32,68
1132,00;32,62
1130,00;32,57
1128,00;32,51
1126,00;32,46
1124,00;32,40
1122,00;32,35
1120,00;32,29
1118,00;32,23
1116,00;32,18
1114,00;32,12
1112,00;32,06
1110,00;32,00
1108,00;31,94
1106,00;31,88
1104,00;31,82
1102,00;31,76
1100,00;31,70
1098,00;31,65
1096,00;31,59
1094,00;31,53
1092,00;31,47
1090,00;31,41
1088,00;31,35
1086,00;31,28
1084,00;31,22
1082,00;31,16
1080,00;31,10
1078,00;31,04
1076,00;30,98
1074,00;30,92
1072,00;30,86
1070,00;30,81
1068,00;30,75
1066,00;30,69
1064,00;30,63
1062,00;30,58
1060,00;30,52
1058,00;30,46
1056,00;30,40
1054,00;30,34
1052,00;30,29
1050,00;30,23
1048,00;30,16
1046,00;30,10
1044,00;30,04
1042,00;29,98
1040,00;29,92
1038,00;29,86
1036,00;29,81
1034,00;29,75
1032,00;29,69
1030,00;29,63
1028,00;29,58
1026,00;29,52
1024,00;29,47
1022,00;29,41
1020,00;29,35
1018,00;29,30
1016,00;29,24
1014,00;29,18
1012,00;29,13
1010,00;29,07
1008,00;29,01
1006,00;28,96
1004,00;28,90
1002,00;28,85
1000,00;28,79
998,00;28,74
996,00;28,68
994,00;28,63
992,00;28,57
990,00;28,52
988,00;28,47
986,00;28,41
984,00;28,36
982,00;28,30
980,00;28,25
978,00;28,19
976,00;28,14
974,00;28,09
972,00;28,03
970,00;27,98
968,00;27,93
966,00;27,88
